Method,K,Mean,Std,N
Supervised Baseline(LOSO),5,0.6507971981097349,0.15613200093561547,16
Supervised Baseline(LOSO),10,0.6241979079932095,0.150964508612772,16
Supervised Baseline(LOSO),20,0.6450735917563389,0.12536011475197764,16
Supervised Baseline(LOSO),50,0.6406620869497338,0.1401110323227227,16
