Method,K,Mean,Std,Min,Max,N
MAML-Encoder (ANIL),5,0.5464543448761106,0.17473863700846445,0.09183673560619354,0.8503937125205994,16
MAML-Encoder (ANIL),10,0.5537332035601139,0.1774057890503934,0.09677419066429138,0.8524589538574219,16
MAML-Encoder (ANIL),20,0.5541010643355548,0.1794750212830041,0.08433734625577927,0.848214328289032,16
MAML-Encoder (ANIL),50,0.557491390965879,0.18262560533548378,0.09433962404727936,0.8902438879013062,16
