Method,Mean Accuracy,Std Accuracy,Mean %,Std %,N Subjects
MAML-RL,0.4849751819671153,0.15836612370154085,48.49751819671153,15.836612370154086,16
MAML-Encoder (ANIL),0.557491390965879,0.18262560533548378,55.749139096587896,18.262560533548378,16
MAML-Encoder (Full-MAML),0.5657346015796065,0.18698787905922204,56.57346015796065,18.698787905922202,16
Single-Subject PPO,0.646455586861618,0.14516392031319092,64.64555868616179,14.516392031319093,16
Pooled PPO + Finetune,0.6745857407169346,0.13462995241942532,67.45857407169346,13.462995241942533,16
