Method,K,Mean,Std,N
Supervised Baseline(LOSO),5,0.6241871537703108,0.1498010892708123,16
Supervised Baseline(LOSO),10,0.6435672163168622,0.13975266491532584,16
Supervised Baseline(LOSO),20,0.6218982001781547,0.14321347383444402,16
Supervised Baseline(LOSO),50,0.6289915459298459,0.13750880035187676,16
