Method,Mean Accuracy,Std Accuracy,Mean %,Std %,N Subjects
MAML-RL,0.5102519234684116,0.16918951546136593,51.025192346841166,16.918951546136594,16
MAML-Encoder (ANIL),0.5504061481915414,0.2130985596776487,55.04061481915414,21.30985596776487,16
MAML-Encoder (Full-MAML),0.5539501975290477,0.2090103954979581,55.39501975290477,20.90103954979581,16
Single-Subject PPO,0.6612914607483975,0.14338584273857857,66.12914607483975,14.338584273857858,16
Pooled PPO + Finetune,0.6745857407169346,0.13462995241942532,67.45857407169346,13.462995241942533,16
