Method,K,Mean,Std,Min,Max,N
MAML-Encoder (Full-MAML),5,0.5554742682725191,0.20165564122558025,0.12992125749588013,0.9370861053466797,16
MAML-Encoder (Full-MAML),10,0.5537838689051569,0.20924457028241397,0.11646585911512375,0.936026930809021,16
MAML-Encoder (Full-MAML),20,0.5581366890110075,0.21139756360478767,0.12133891135454178,0.9372822642326355,16
MAML-Encoder (Full-MAML),50,0.5539501975290477,0.2090103954979581,0.1100478395819664,0.929961085319519,16
