Method,K,Mean,Std,Min,Max,N
Pooled PPO + Finetune,5,0.6940802404413343,0.13203376443403375,0.5158227848101266,0.9403973509933775,16
Pooled PPO + Finetune,10,0.6918206833050844,0.13294650654080908,0.5086705202312138,0.9393939393939394,16
Pooled PPO + Finetune,20,0.6861175182676197,0.1338482216861293,0.49693251533742333,0.9372822299651568,16
Pooled PPO + Finetune,50,0.6745857407169346,0.13462995241942532,0.47368421052631576,0.9299610894941635,16
