Method,K,Mean,Std,Min,Max,N
MAML-RL,5,0.5001414752087658,0.17363731099816312,0.1141732283464567,0.9072847682119205,16
MAML-RL,10,0.49186966502085727,0.17433373457764614,0.11244979919678715,0.9023569023569024,16
MAML-RL,20,0.4925184867692945,0.1703132039104236,0.11715481171548117,0.9024390243902439,16
MAML-RL,50,0.5015919528893693,0.1653761210614462,0.12440191387559808,0.8949416342412452,16
