Method,Mean Accuracy,Std Accuracy,Mean %,Std %,N Subjects
MAML-RL,0.5015919528893693,0.1653761210614462,50.15919528893693,16.53761210614462,16
MAML-Encoder (ANIL),0.6132972184568644,0.17781607076394612,61.329721845686436,17.78160707639461,16
MAML-Encoder (Full-MAML),0.6181141026318073,0.1785283914180827,61.81141026318073,17.852839141808268,16
Single-Subject PPO,0.6718401775470171,0.13670112785710348,67.18401775470171,13.670112785710348,16
Pooled PPO + Finetune,0.6745857407169346,0.13462995241942532,67.45857407169346,13.462995241942533,16
