Method,K,Mean,Std,N
Supervised Baseline(LOSO),5,0.5961160119518872,0.133459156547402,16
Supervised Baseline(LOSO),10,0.6240600849509528,0.165684133833869,16
Supervised Baseline(LOSO),20,0.6346376681883648,0.11981701376727624,16
Supervised Baseline(LOSO),50,0.639082749592291,0.13571138740926103,16
